SCS,ISC,NRUSC,tRU,requiredSNR,IRU,NRU,ITBS,Qm,TBS,numTrBlks,NRep,SNR,BLER,TTI,pathloss,datarate,bandwidth
3750,0,1,32,-5.7403,0,1,9,2,136,100,2,6,0,64,152,2.125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,2,5,0,64,153,2.125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,2,4,0,64,154,2.125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,2,3,0,64,155,2.125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,4,2,0,128,156,1.0625,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,2,1,0,64,157,2.125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,4,0,0,128,158,1.0625,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,8,-1,0,256,159,0.53125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,8,-2,0,256,160,0.53125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,8,-3,0,256,161,0.53125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,8,-4,0,256,162,0.53125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,8,-5,0,256,163,0.53125,"3,75"
3750,0,1,32,-5.7403,0,1,9,2,136,100,8,-6,0,256,164,0.53125,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,1,18,0,32,140,4.5,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,1,17,0,32,141,4.5,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,1,16,0,32,142,4.5,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,1,15,0,32,143,4.5,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,1,14,0,32,144,4.5,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,1,13,0,32,145,4.5,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,1,12,0,32,146,4.5,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,2,11,0,64,147,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,1,10,0,32,148,4.5,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,2,9,0,64,149,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,2,8,0,64,150,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,2,7,0,64,151,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,2,6,0,64,152,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,2,5,0,64,153,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,2,4,0,64,154,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,2,3,0,64,155,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,4,2,0,128,156,1.125,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,4,1,0,128,157,1.125,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,4,0,0,128,158,1.125,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,8,-1,0,256,159,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,8,-2,0,256,160,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,8,-3,0,256,161,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,8,-4,0,256,162,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,8,-5,0,256,163,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,10,2,144,100,8,-6,0,256,164,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,16,0,64,142,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,15,0,64,143,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,14,0,64,144,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,13,0,64,145,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,12,0,64,146,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,11,0,64,147,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,10,0,64,148,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,9,0,64,149,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,8,0,64,150,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,7,0,64,151,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,6,0,64,152,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,5,0,64,153,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,2,4,0,64,154,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,8,3,0,256,155,0.6875,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,4,2,0,128,156,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,4,1,0,128,157,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,4,0,0,128,158,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,8,-1,0,256,159,0.6875,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,16,-2,0,512,160,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,16,-3,0,512,161,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,16,-4,0,512,162,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,16,-5,0,512,163,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,16,-6,0,512,164,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,11,2,176,100,16,-7,0,512,165,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,16,0,64,142,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,15,0,64,143,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,1,14,0,32,144,6.5,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,13,0,64,145,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,12,0,64,146,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,11,0,64,147,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,10,0,64,148,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,9,0,64,149,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,8,0,64,150,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,4,7,0,128,151,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,2,6,0,64,152,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,12,2,208,100,4,5,0,128,153,1.625,"3,75"
